open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
2025-12-06 06:13:00,89647.78,89677.97,89642.48,89677.96,5.84239,2025-12-06 06:13:59.999,523789.17490270,1752,4.16977000,373842.85421140,0
2025-12-06 06:14:00,89677.96,89677.97,89677.96,89677.97,0.39443,2025-12-06 06:14:59.999,35371.68051900,170,0.27562000,24717.04209140,0
2025-12-06 06:15:00,89677.96,89677.97,89677.96,89677.97,1.61986,2025-12-06 06:15:59.999,145265.75552670,163,1.52411000,136679.09085670,0
2025-12-06 06:16:00,89677.97,89677.97,89642.72,89653.11,3.49254,2025-12-06 06:16:59.999,313160.80408370,1942,0.49417000,44301.44728110,0
2025-12-06 06:17:00,89653.12,89673.88,89653.11,89673.87,0.74788,2025-12-06 06:17:59.999,67052.58689630,737,0.59576000,53413.78984550,0
2025-12-06 06:18:00,89673.87,89673.88,89620.94,89643.8,2.42738,2025-12-06 06:18:59.999,217605.35356070,3340,0.46425000,41611.69716420,0
2025-12-06 06:19:00,89643.81,89649.27,89643.8,89644.55,0.5457,2025-12-06 06:19:59.999,48920.31083490,404,0.19535000,17512.66810040,0
2025-12-06 06:20:00,89644.55,89653.87,89623.12,89653.72,5.70417,2025-12-06 06:20:59.999,511336.60736940,1992,4.51538000,404767.72659220,0
2025-12-06 06:21:00,89653.73,89653.73,89641.87,89646.67,0.6969,2025-12-06 06:21:59.999,62473.84828620,508,0.15131000,13563.84457260,0
2025-12-06 06:22:00,89646.67,89690.46,89646.67,89690.46,3.6062,2025-12-06 06:22:59.999,323393.14263670,1137,3.19158000,286209.05294180,0
2025-12-06 06:23:00,89690.45,89690.51,89690.45,89690.51,2.20639,2025-12-06 06:23:59.999,197892.16712180,459,1.20595000,108162.24733680,0
2025-12-06 06:24:00,89690.5,89732.99,89690.5,89732.98,7.12407,2025-12-06 06:24:59.999,639082.66824930,1322,6.67817000,599082.22492230,0
2025-12-06 06:25:00,89732.99,89732.99,89710.0,89710.01,2.21128,2025-12-06 06:25:59.999,198404.90716180,1787,0.25554000,22925.73338790,0
2025-12-06 06:26:00,89710.01,89710.01,89710.0,89710.01,1.46645,2025-12-06 06:26:59.999,131555.23641710,201,0.69171000,62053.31101710,0
2025-12-06 06:27:00,89710.0,89710.01,89710.0,89710.01,1.1103,2025-12-06 06:27:59.999,99605.01474520,231,0.17452000,15656.19094520,0
2025-12-06 06:28:00,89710.0,89737.05,89710.0,89737.04,2.06603,2025-12-06 06:28:59.999,185370.37511470,1362,1.72105000,154417.33560710,0
2025-12-06 06:29:00,89737.04,89764.19,89737.04,89744.2,7.02021,2025-12-06 06:29:59.999,630075.72792870,2003,3.50905000,314932.56701240,0
2025-12-06 06:30:00,89744.2,89744.2,89725.16,89725.16,2.02815,2025-12-06 06:30:59.999,181995.69490600,810,0.16034000,14387.46081940,0
2025-12-06 06:31:00,89725.17,89725.17,89725.16,89725.16,0.63845,2025-12-06 06:31:59.999,57285.03070290,253,0.23009000,20644.86436530,0
2025-12-06 06:32:00,89725.17,89725.17,89725.16,89725.17,2.66989,2025-12-06 06:32:59.999,239556.31049840,265,0.30660000,27509.73712200,0
2025-12-06 06:33:00,89725.16,89736.11,89725.16,89736.11,1.29045,2025-12-06 06:33:59.999,115790.74502170,592,0.85783000,76971.18022390,0
2025-12-06 06:34:00,89736.1,89754.81,89718.94,89718.94,3.08161,2025-12-06 06:34:59.999,276559.21430140,2280,0.94565000,84864.30787760,0
2025-12-06 06:35:00,89718.95,89756.44,89713.03,89722.39,3.28991,2025-12-06 06:35:59.999,295222.85633190,1966,1.96689000,176489.29641590,0
2025-12-06 06:36:00,89722.39,89722.4,89718.95,89718.97,0.31015,2025-12-06 06:36:59.999,27826.41965650,434,0.08874000,7961.66187300,0
2025-12-06 06:37:00,89718.98,89730.62,89713.97,89713.97,1.24484,2025-12-06 06:37:59.999,111688.00713170,791,0.35984000,32285.56240060,0
2025-12-06 06:38:00,89713.97,89713.98,89694.37,89694.38,2.32991,2025-12-06 06:38:59.999,208992.21007630,502,0.67277000,60343.83850440,0
2025-12-06 06:39:00,89694.37,89694.38,89690.88,89690.88,0.83911,2025-12-06 06:39:59.999,75262.73477910,919,0.22905000,20544.48332530,0
2025-12-06 06:40:00,89690.89,89690.89,89647.48,89648.06,3.8492,2025-12-06 06:40:59.999,345140.32220670,1439,0.33002000,29589.15757740,0
2025-12-06 06:41:00,89648.06,89675.68,89648.06,89675.67,2.88858,2025-12-06 06:41:59.999,258973.20062660,1176,1.08210000,97012.57037840,0
2025-12-06 06:42:00,89675.68,89686.54,89675.68,89684.22,2.46771,2025-12-06 06:42:59.999,221314.18038100,1707,0.85551000,76723.44978340,0
2025-12-06 06:43:00,89684.22,89684.23,89671.04,89671.05,1.12937,2025-12-06 06:43:59.999,101272.56440110,634,0.78052000,69990.11751380,0
2025-12-06 06:44:00,89671.04,89671.05,89659.0,89659.0,1.42843,2025-12-06 06:44:59.999,128080.13499470,475,0.64179000,57545.88813470,0
2025-12-06 06:45:00,89659.01,89659.01,89624.47,89657.37,4.799,2025-12-06 06:45:59.999,430149.37218750,2780,3.27162000,293238.85545350,0
2025-12-06 06:46:00,89657.37,89662.84,89657.36,89659.0,3.52349,2025-12-06 06:46:59.999,315918.96969140,533,1.95038000,174870.47079350,0
2025-12-06 06:47:00,89659.0,89662.84,89659.0,89659.0,1.60501,2025-12-06 06:47:59.999,143908.90976260,619,0.52231000,46831.03792440,0
2025-12-06 06:48:00,89659.0,89673.09,89658.68,89664.14,3.70473,2025-12-06 06:48:59.999,332183.07329570,1322,1.36235000,122151.55210510,0
2025-12-06 06:49:00,89664.13,89673.09,89664.13,89673.09,1.88892,2025-12-06 06:49:59.999,169373.92087580,370,0.46263000,41482.38915460,0
2025-12-06 06:50:00,89673.08,89673.09,89666.9,89666.9,0.6398,2025-12-06 06:50:59.999,57370.28136820,371,0.26507000,23768.04528450,0
2025-12-06 06:51:00,89666.9,89669.84,89640.73,89669.83,3.33636,2025-12-06 06:51:59.999,299128.99862440,1733,1.76348000,158100.62751840,0
2025-12-06 06:52:00,89669.83,89700.0,89669.83,89700.0,1.47193,2025-12-06 06:52:59.999,132015.35536200,1120,1.34527000,120655.48693480,0
2025-12-06 06:53:00,89699.99,89700.0,89684.91,89693.86,1.81365,2025-12-06 06:53:59.999,162678.53308810,763,0.34891000,31294.23548920,0
2025-12-06 06:54:00,89693.85,89693.86,89681.5,89681.5,1.38412,2025-12-06 06:54:59.999,124143.50200610,524,0.16383000,14694.24040860,0
2025-12-06 06:55:00,89681.5,89681.51,89667.13,89667.14,3.15737,2025-12-06 06:55:59.999,283156.17092020,553,1.03464000,92787.94459870,0
2025-12-06 06:56:00,89667.14,89688.65,89667.13,89688.64,1.37444,2025-12-06 06:56:59.999,123254.82249000,630,1.22006000,109410.27889660,0
2025-12-06 06:57:00,89688.65,89688.65,89681.21,89681.22,1.39929,2025-12-06 06:57:59.999,125497.50774360,389,0.29647000,26589.53426480,0
2025-12-06 06:58:00,89681.22,89681.22,89673.85,89678.45,4.72026,2025-12-06 06:58:59.999,423295.51568770,773,1.78740000,160286.35118680,0
2025-12-06 06:59:00,89678.44,89688.65,89678.44,89688.65,2.76529,2025-12-06 06:59:59.999,248001.01946600,410,2.21647000,198780.17525000,0
2025-12-06 07:00:00,89688.65,89690.53,89688.64,89690.53,4.75866,2025-12-06 07:00:59.999,426797.94853880,687,4.17694000,374624.15699200,0
2025-12-06 07:01:00,89690.53,89696.27,89688.65,89688.66,5.23149,2025-12-06 07:01:59.999,469214.62505060,976,4.30117000,385772.46170150,0
2025-12-06 07:02:00,89688.65,89688.66,89654.1,89654.11,9.4005,2025-12-06 07:02:59.999,842985.64525240,1485,3.45690000,309992.11998910,0
2025-12-06 07:03:00,89654.1,89673.02,89639.85,89673.02,3.31868,2025-12-06 07:03:59.999,297517.86053540,1290,0.68773000,61655.54919160,0
2025-12-06 07:04:00,89673.02,89692.91,89667.19,89692.9,1.63654,2025-12-06 07:04:59.999,146762.52044410,1458,0.54558000,48926.91915500,0
2025-12-06 07:05:00,89692.91,89698.04,89654.81,89654.82,6.69755,2025-12-06 07:05:59.999,600650.14260080,2563,0.55451000,49727.15843180,0
2025-12-06 07:06:00,89654.82,89665.49,89654.81,89665.49,0.86661,2025-12-06 07:06:59.999,77699.81639010,603,0.29327000,26294.50904830,0
2025-12-06 07:07:00,89665.48,89698.35,89665.48,89698.34,1.49124,2025-12-06 07:07:59.999,133736.46921960,1270,0.98698000,88512.00606100,0
2025-12-06 07:08:00,89698.34,89698.35,89683.32,89683.33,2.28934,2025-12-06 07:08:59.999,205328.90859090,715,1.02071000,91542.31744880,0
2025-12-06 07:09:00,89683.32,89698.35,89683.32,89698.35,1.32655,2025-12-06 07:09:59.999,118977.24156900,483,0.91210000,81805.12481300,0
2025-12-06 07:10:00,89698.34,89698.35,89671.65,89671.65,1.99423,2025-12-06 07:10:59.999,178865.46093160,1020,0.52428000,47025.44611220,0
2025-12-06 07:11:00,89671.64,89671.65,89665.17,89665.17,3.4344,2025-12-06 07:11:59.999,307960.49021860,503,0.09320000,8357.12965940,0
2025-12-06 07:12:00,89665.18,89665.18,89665.17,89665.17,1.85615,2025-12-06 07:12:59.999,166432.01031080,154,0.50153000,44969.77772540,0
2025-12-06 07:13:00,89665.17,89688.18,89665.17,89688.18,1.35942,2025-12-06 07:13:59.999,121911.84598860,731,1.01064000,90631.46887620,0
2025-12-06 07:14:00,89688.18,89696.41,89688.17,89688.18,1.03425,2025-12-06 07:14:59.999,92761.82828400,1172,0.48302000,43322.04932690,0
2025-12-06 07:15:00,89688.18,89688.18,89688.17,89688.18,2.26452,2025-12-06 07:15:59.999,203100.67557970,145,2.08513000,187011.51476340,0
2025-12-06 07:16:00,89688.18,89697.76,89688.17,89697.76,0.65255,2025-12-06 07:16:59.999,58528.12357690,543,0.53842000,48291.63135500,0
2025-12-06 07:17:00,89697.76,89697.76,89688.79,89688.79,1.71436,2025-12-06 07:17:59.999,153771.01186910,538,1.34737000,120854.38014700,0
2025-12-06 07:18:00,89688.79,89688.79,89650.04,89650.04,5.09414,2025-12-06 07:18:59.999,456741.57123810,1731,0.27186000,24375.86784160,0
2025-12-06 07:19:00,89650.04,89688.97,89650.04,89688.97,4.07311,2025-12-06 07:19:59.999,365296.76349850,1462,0.60718000,54448.34084980,0
2025-12-06 07:20:00,89688.96,89688.97,89666.46,89666.46,2.37618,2025-12-06 07:20:59.999,213105.91113870,1157,0.61267000,54944.70933680,0
2025-12-06 07:21:00,89666.47,89666.47,89650.04,89650.04,1.30888,2025-12-06 07:21:59.999,117351.05858240,824,0.06303000,5650.75844880,0
2025-12-06 07:22:00,89650.04,89650.05,89635.09,89635.09,1.45167,2025-12-06 07:22:59.999,130139.87650650,852,0.10907000,9778.08683690,0
2025-12-06 07:23:00,89635.09,89699.27,89635.09,89685.64,50.81459,2025-12-06 07:23:59.999,4556518.69348290,1094,49.29247000,4420027.86216680,0
2025-12-06 07:24:00,89685.63,89693.03,89667.2,89667.21,3.03527,2025-12-06 07:24:59.999,272187.90029030,1113,1.28654000,115364.91327120,0
2025-12-06 07:25:00,89667.2,89667.21,89659.0,89659.0,3.00709,2025-12-06 07:25:59.999,269634.85465940,621,1.06130000,95163.79127700,0
2025-12-06 07:26:00,89659.0,89659.0,89601.3,89601.3,4.12151,2025-12-06 07:26:59.999,369418.55051640,2131,0.15573000,13954.91091000,0
2025-12-06 07:27:00,89601.31,89630.95,89601.3,89630.95,12.47835,2025-12-06 07:27:59.999,1118219.30145310,2732,6.77663000,607253.92554690,0
2025-12-06 07:28:00,89630.94,89630.95,89590.0,89594.81,8.66178,2025-12-06 07:28:59.999,776177.37093350,1284,0.82980000,74349.20274810,0
2025-12-06 07:29:00,89594.8,89594.81,89575.5,89575.5,14.92336,2025-12-06 07:29:59.999,1337020.70274570,964,0.47632000,42669.04343650,0
2025-12-06 07:30:00,89575.5,89575.51,89500.0,89500.0,8.67229,2025-12-06 07:30:59.999,776347.71252180,2273,0.36720000,32876.21410110,0
2025-12-06 07:31:00,89500.0,89500.01,89459.19,89484.97,12.2938,2025-12-06 07:31:59.999,1100170.43565930,2839,2.44258000,218548.51953360,0
2025-12-06 07:32:00,89484.98,89560.08,89484.97,89560.07,4.11752,2025-12-06 07:32:59.999,368612.42319670,2268,3.18576000,285190.58711130,0
2025-12-06 07:33:00,89560.08,89608.0,89560.08,89607.99,2.45418,2025-12-06 07:33:59.999,219852.94232450,1537,1.41943000,127153.80887260,0
2025-12-06 07:34:00,89608.0,89608.0,89574.55,89593.39,5.84844,2025-12-06 07:34:59.999,523968.07887480,1750,2.60479000,233354.70597150,0
2025-12-06 07:35:00,89593.38,89605.49,89579.08,89605.48,6.97831,2025-12-06 07:35:59.999,625215.97440790,1592,2.52011000,225758.04598020,0
2025-12-06 07:36:00,89605.48,89619.36,89605.48,89619.36,3.48946,2025-12-06 07:36:59.999,312679.80727330,556,3.30198000,295880.12291100,0
2025-12-06 07:37:00,89619.36,89659.0,89619.36,89659.0,4.3038,2025-12-06 07:37:59.999,385791.05025730,1218,4.05094000,363124.21769110,0
2025-12-06 07:38:00,89658.99,89659.0,89612.2,89612.21,4.45826,2025-12-06 07:38:59.999,399660.67861710,2754,0.94392000,84618.53436830,0
2025-12-06 07:39:00,89612.2,89618.65,89585.64,89618.65,3.63777,2025-12-06 07:39:59.999,325941.18628170,2669,2.06668000,185164.10181030,0
2025-12-06 07:40:00,89618.64,89618.65,89618.64,89618.65,0.54719,2025-12-06 07:40:59.999,49038.42759340,150,0.39718000,35594.73540700,0
2025-12-06 07:41:00,89618.64,89652.0,89618.64,89651.64,2.30435,2025-12-06 07:41:59.999,206533.81125270,1175,1.95718000,175415.16976420,0
2025-12-06 07:42:00,89651.63,89659.0,89648.53,89648.54,1.95632,2025-12-06 07:42:59.999,175392.89419140,658,0.39912000,35781.72089400,0
2025-12-06 07:43:00,89648.53,89648.54,89636.71,89637.25,3.66868,2025-12-06 07:43:59.999,328881.21999700,949,0.51203000,45897.53708160,0
2025-12-06 07:44:00,89637.25,89637.25,89637.24,89637.24,1.19695,2025-12-06 07:44:59.999,107291.29551070,269,0.10927000,9794.66230750,0
2025-12-06 07:45:00,89637.25,89688.0,89637.24,89686.28,4.67749,2025-12-06 07:45:59.999,419392.70139670,1151,4.49161000,402728.73378370,0
2025-12-06 07:46:00,89686.28,89720.0,89686.27,89720.0,8.04267,2025-12-06 07:46:59.999,721457.30808270,1029,7.00499000,628373.01916000,0
2025-12-06 07:47:00,89719.99,89720.0,89666.33,89683.42,9.61812,2025-12-06 07:47:59.999,862665.60696620,2163,1.99369000,178791.03870760,0
2025-12-06 07:48:00,89683.41,89683.98,89670.83,89683.98,2.35492,2025-12-06 07:48:59.999,211188.18410260,906,1.00070000,89739.11776590,0
2025-12-06 07:49:00,89683.97,89683.98,89670.99,89671.0,1.23065,2025-12-06 07:49:59.999,110362.98488330,891,0.22115000,19832.47527190,0
2025-12-06 07:50:00,89671.0,89671.0,89628.95,89628.95,2.89254,2025-12-06 07:50:59.999,259312.96625900,1821,0.04277000,3834.02292060,0
2025-12-06 07:51:00,89628.96,89628.96,89614.14,89614.15,0.80031,2025-12-06 07:51:59.999,71727.16147380,978,0.14834000,13294.40728350,0
2025-12-06 07:52:00,89614.15,89614.15,89608.0,89612.03,2.3479,2025-12-06 07:52:59.999,210400.31587310,741,1.16697000,104572.94397070,0
2025-12-06 07:53:00,89612.04,89612.04,89601.33,89601.34,1.74197,2025-12-06 07:53:59.999,156096.19214360,430,0.12931000,11587.31506900,0
2025-12-06 07:54:00,89601.33,89612.03,89567.81,89567.81,14.5719,2025-12-06 07:54:59.999,1305435.35395340,2571,1.79057000,160425.03787410,0
2025-12-06 07:55:00,89567.81,89585.17,89567.25,89584.87,7.56661,2025-12-06 07:55:59.999,677750.23581550,1878,4.28371000,383700.93506820,0
2025-12-06 07:56:00,89584.87,89648.82,89584.87,89648.82,1.8168,2025-12-06 07:56:59.999,162809.88310830,1923,1.65004000,147865.32623460,0
2025-12-06 07:57:00,89648.82,89648.82,89625.13,89625.14,1.08396,2025-12-06 07:57:59.999,97164.35832900,1319,0.24435000,21900.42119440,0
2025-12-06 07:58:00,89625.13,89639.45,89614.16,89614.16,7.03273,2025-12-06 07:58:59.999,630312.12796830,1214,2.82426000,253138.70817540,0
2025-12-06 07:59:00,89614.17,89614.17,89585.51,89597.13,2.50191,2025-12-06 07:59:59.999,224152.03604250,837,1.57428000,141036.21230810,0
2025-12-06 08:00:00,89597.14,89604.41,89597.13,89603.54,3.62215,2025-12-06 08:00:59.999,324549.88594640,731,2.99518000,268370.89882820,0
2025-12-06 08:01:00,89603.55,89603.55,89570.0,89590.64,18.92149,2025-12-06 08:01:59.999,1695076.72700080,2491,1.69377000,151725.42506690,0
2025-12-06 08:02:00,89590.64,89606.46,89590.63,89602.28,13.34543,2025-12-06 08:02:59.999,1195718.97445600,1252,5.80548000,520124.34367050,0
2025-12-06 08:03:00,89602.28,89613.91,89570.0,89570.01,10.24611,2025-12-06 08:03:59.999,918098.32527160,2268,3.50018000,313629.43077490,0
2025-12-06 08:04:00,89570.01,89582.9,89562.11,89562.12,3.13459,2025-12-06 08:04:59.999,280767.76778860,1591,0.57066000,51114.43114770,0
2025-12-06 08:05:00,89562.12,89575.88,89562.11,89575.87,14.6884,2025-12-06 08:05:59.999,1315669.12655320,1076,2.67409000,239510.28146940,0
2025-12-06 08:06:00,89575.86,89575.87,89563.99,89563.99,4.80129,2025-12-06 08:06:59.999,430040.36846400,686,0.10388000,9304.33232290,0
2025-12-06 08:07:00,89563.98,89563.99,89561.96,89561.97,3.17795,2025-12-06 08:07:59.999,284623.86280560,560,1.32896000,119024.42931960,0
2025-12-06 08:08:00,89561.96,89595.23,89561.96,89590.01,5.08539,2025-12-06 08:08:59.999,455607.88242250,954,0.65018000,58237.15578990,0
2025-12-06 08:09:00,89590.01,89590.01,89584.55,89584.55,2.79348,2025-12-06 08:09:59.999,250267.53962620,557,0.81865000,73342.73123670,0
2025-12-06 08:10:00,89584.56,89584.56,89577.64,89577.64,6.0796,2025-12-06 08:10:59.999,544613.94946450,905,0.25538000,22877.89005500,0
2025-12-06 08:11:00,89577.64,89577.64,89541.93,89541.93,4.47232,2025-12-06 08:11:59.999,400530.46649150,1770,0.24961000,22353.95271820,0
2025-12-06 08:12:00,89541.93,89551.87,89539.57,89547.73,8.76949,2025-12-06 08:12:59.999,785284.23478830,1448,2.34107000,209624.22397160,0
2025-12-06 08:13:00,89547.73,89556.45,89535.84,89535.84,9.93733,2025-12-06 08:13:59.999,889898.48427270,1809,0.96871000,86746.78058900,0
2025-12-06 08:14:00,89535.84,89543.56,89535.84,89543.55,1.29118,2025-12-06 08:14:59.999,115607.09456470,329,0.95422000,85437.08596780,0
2025-12-06 08:15:00,89543.56,89551.5,89535.98,89535.98,5.31304,2025-12-06 08:15:59.999,475736.29807540,1230,3.12577000,279870.73407320,0
2025-12-06 08:16:00,89535.98,89614.56,89535.98,89614.56,14.27049,2025-12-06 08:16:59.999,1278299.95015300,3131,12.79323000,1145994.10603050,0
2025-12-06 08:17:00,89614.55,89647.12,89585.0,89585.01,9.90251,2025-12-06 08:17:59.999,887560.15855490,2907,2.19524000,196761.39141880,0
2025-12-06 08:18:00,89585.01,89585.01,89553.81,89553.81,10.1181,2025-12-06 08:18:59.999,906240.22905190,1966,0.16408000,14695.12962050,0
2025-12-06 08:19:00,89553.81,89585.0,89553.81,89553.82,4.63494,2025-12-06 08:19:59.999,415123.84811770,1967,2.12903000,190681.02725740,0
2025-12-06 08:20:00,89553.81,89553.82,89420.0,89420.0,19.18401,2025-12-06 08:20:59.999,1717066.95338420,5328,3.55425000,318089.09238630,0
2025-12-06 08:21:00,89420.0,89442.89,89404.0,89421.45,24.20962,2025-12-06 08:21:59.999,2165026.68803540,3128,1.90695000,170531.82752270,0
2025-12-06 08:22:00,89421.46,89421.46,89360.45,89360.46,4.02605,2025-12-06 08:22:59.999,359918.27022710,2553,0.33346000,29809.18366220,0
2025-12-06 08:23:00,89360.46,89413.39,89360.45,89389.46,6.32645,2025-12-06 08:23:59.999,565555.96662870,2478,3.11621000,278565.68539130,0
2025-12-06 08:24:00,89389.46,89406.05,89350.6,89406.05,4.21498,2025-12-06 08:24:59.999,376676.57341470,2687,1.58782000,141894.71089390,0
2025-12-06 08:25:00,89406.05,89437.3,89360.0,89360.01,4.94212,2025-12-06 08:25:59.999,441806.54296460,2913,2.05671000,183860.49319830,0
2025-12-06 08:26:00,89360.01,89360.01,89291.88,89337.52,18.87196,2025-12-06 08:26:59.999,1685516.40071790,3481,6.38611000,570283.28051590,0
2025-12-06 08:27:00,89337.51,89365.52,89324.01,89343.43,3.61481,2025-12-06 08:27:59.999,322980.72516910,2789,0.85701000,76572.10483410,0
2025-12-06 08:28:00,89343.44,89343.44,89302.0,89302.01,8.55351,2025-12-06 08:28:59.999,764002.69356280,1220,1.79545000,160338.48932180,0
2025-12-06 08:29:00,89302.01,89306.38,89270.03,89288.38,7.68733,2025-12-06 08:29:59.999,686388.81863580,2453,1.34527000,120113.74730030,0
2025-12-06 08:30:00,89288.37,89314.98,89288.37,89308.59,8.57078,2025-12-06 08:30:59.999,765402.39728860,2494,6.58899000,588417.61912690,0
2025-12-06 08:31:00,89308.59,89339.63,89308.59,89327.22,5.01515,2025-12-06 08:31:59.999,447988.61012560,1180,3.16172000,282422.97888750,0
2025-12-06 08:32:00,89327.22,89327.22,89267.89,89282.39,8.93327,2025-12-06 08:32:59.999,797663.99626510,4231,3.48647000,311244.78792080,0
2025-12-06 08:33:00,89282.39,89282.39,89219.5,89219.5,8.99466,2025-12-06 08:33:59.999,802706.72612780,3388,0.60331000,53838.82706620,0
2025-12-06 08:34:00,89219.5,89277.48,89217.59,89277.48,4.89082,2025-12-06 08:34:59.999,436430.14106620,2330,1.17390000,104759.55044780,0
2025-12-06 08:35:00,89277.49,89320.0,89250.59,89319.99,4.86805,2025-12-06 08:35:59.999,434607.92165670,2870,2.88257000,257357.57728860,0
2025-12-06 08:36:00,89320.0,89346.49,89319.99,89346.49,4.18146,2025-12-06 08:36:59.999,373550.26682210,1085,2.73107000,243988.27695210,0
2025-12-06 08:37:00,89346.48,89416.53,89346.48,89404.01,10.23203,2025-12-06 08:37:59.999,914571.76104510,2816,4.08732000,365340.53537280,0
2025-12-06 08:38:00,89404.0,89428.96,89354.99,89361.51,12.54882,2025-12-06 08:38:59.999,1121881.73565420,3042,2.90536000,259696.05230730,0
2025-12-06 08:39:00,89361.51,89361.52,89315.04,89331.06,23.49214,2025-12-06 08:39:59.999,2098455.06792540,4308,1.20540000,107686.23901720,0
2025-12-06 08:40:00,89331.05,89371.04,89314.08,89364.13,3.85378,2025-12-06 08:40:59.999,344255.73537800,1904,1.84449000,164760.21292580,0
2025-12-06 08:41:00,89364.13,89388.51,89343.43,89388.49,7.06182,2025-12-06 08:41:59.999,631182.30393170,2081,1.91370000,171038.06226130,0
2025-12-06 08:42:00,89388.49,89401.51,89378.16,89401.5,2.70389,2025-12-06 08:42:59.999,241694.26701580,1054,1.44836000,129465.76067230,0
2025-12-06 08:43:00,89401.51,89401.51,89394.15,89394.15,3.59851,2025-12-06 08:43:59.999,321689.31648210,650,2.67706000,239313.53423260,0
2025-12-06 08:44:00,89394.16,89405.15,89394.16,89394.16,2.60804,2025-12-06 08:44:59.999,233167.66207920,897,0.50266000,44937.32743360,0
2025-12-06 08:45:00,89394.17,89405.21,89360.39,89360.39,6.94156,2025-12-06 08:45:59.999,620526.50489940,2073,2.92330000,261316.92693870,0
2025-12-06 08:46:00,89360.39,89360.4,89324.76,89326.41,3.403,2025-12-06 08:46:59.999,304046.27437170,2806,0.45119000,40308.89828150,0
2025-12-06 08:47:00,89326.41,89339.52,89311.19,89311.2,2.81225,2025-12-06 08:47:59.999,251197.11994340,2080,0.77735000,69440.56816540,0
2025-12-06 08:48:00,89311.19,89316.38,89286.0,89286.0,2.25714,2025-12-06 08:48:59.999,201559.69598950,1556,0.20646000,18437.73878230,0
2025-12-06 08:49:00,89286.01,89309.05,89269.12,89295.34,3.14159,2025-12-06 08:49:59.999,280497.03976000,2868,2.22786000,198911.80878110,0
2025-12-06 08:50:00,89295.33,89314.11,89292.17,89314.11,3.42965,2025-12-06 08:50:59.999,306265.23123980,2527,1.37133000,122459.37082710,0
2025-12-06 08:51:00,89314.11,89355.96,89314.1,89355.96,5.14858,2025-12-06 08:51:59.999,459985.31498840,2858,2.43613000,217619.94207040,0
2025-12-06 08:52:00,89355.97,89359.4,89326.29,89343.43,4.52228,2025-12-06 08:52:59.999,404041.84294820,2991,1.11802000,99882.20924730,0
2025-12-06 08:53:00,89343.43,89343.43,89302.0,89302.01,2.14771,2025-12-06 08:53:59.999,191844.91204220,1463,0.18895000,16876.84803670,0
2025-12-06 08:54:00,89302.0,89313.6,89302.0,89313.6,1.76535,2025-12-06 08:54:59.999,157657.01955330,540,0.88938000,79425.08156630,0
2025-12-06 08:55:00,89313.6,89318.79,89313.6,89318.79,1.22574,2025-12-06 08:55:59.999,109477.41295260,921,0.72740000,64967.66315630,0
2025-12-06 08:56:00,89318.99,89321.0,89267.23,89267.24,4.9724,2025-12-06 08:56:59.999,444082.12817100,2992,1.14480000,102247.25116810,0
2025-12-06 08:57:00,89267.23,89316.51,89254.68,89316.5,5.15333,2025-12-06 08:57:59.999,460055.92044730,2181,1.28182000,114441.21897220,0
2025-12-06 08:58:00,89316.51,89316.51,89299.61,89312.96,4.34343,2025-12-06 08:58:59.999,387901.06023200,1209,0.42528000,37980.73575540,0
2025-12-06 08:59:00,89312.96,89312.97,89253.1,89277.14,4.80957,2025-12-06 08:59:59.999,429379.93962020,2958,2.29424000,204784.13372670,0
2025-12-06 09:00:00,89277.14,89291.99,89264.74,89291.99,3.53421,2025-12-06 09:00:59.999,315517.05703660,1501,1.45560000,129943.63402610,0
2025-12-06 09:01:00,89291.99,89307.4,89291.98,89307.39,2.27534,2025-12-06 09:01:59.999,203186.38473980,542,1.78764000,159633.76695930,0
2025-12-06 09:02:00,89307.39,89345.0,89307.39,89345.0,3.20529,2025-12-06 09:02:59.999,286312.16851170,1412,1.96450000,175474.80305770,0
2025-12-06 09:03:00,89344.99,89356.63,89307.4,89342.46,8.599,2025-12-06 09:03:59.999,768272.08129900,2754,2.32475000,207690.80184300,0
2025-12-06 09:04:00,89342.47,89367.63,89333.46,89333.46,2.51261,2025-12-06 09:04:59.999,224494.81524480,2013,1.38970000,124159.60141040,0
2025-12-06 09:05:00,89333.47,89333.47,89316.18,89316.19,1.98735,2025-12-06 09:05:59.999,177529.99460690,887,0.09970000,8905.53931900,0
2025-12-06 09:06:00,89316.19,89334.22,89316.18,89333.46,8.21828,2025-12-06 09:06:59.999,734130.05723240,1272,2.76377000,246863.26221400,0
2025-12-06 09:07:00,89333.46,89360.93,89333.46,89360.93,11.85961,2025-12-06 09:07:59.999,1059538.21222090,972,10.97143000,980185.95704870,0
2025-12-06 09:08:00,89360.93,89403.3,89360.92,89403.29,3.50707,2025-12-06 09:08:59.999,313482.39787980,839,2.68089000,239631.00054000,0
2025-12-06 09:09:00,89403.29,89403.3,89395.25,89399.27,4.04201,2025-12-06 09:09:59.999,361360.88005350,1463,0.46776000,41815.85710780,0
2025-12-06 09:10:00,89399.26,89445.99,89399.26,89445.98,7.32208,2025-12-06 09:10:59.999,654712.40300990,1900,6.54674000,585387.78814610,0
2025-12-06 09:11:00,89445.99,89553.32,89445.98,89492.85,49.37534,2025-12-06 09:11:59.999,4419151.37712070,4768,32.55482000,2913230.13105300,0
